"Babylon ve směru od H.Týna"|"Babylon"|"Babylon"|"KP118"|"3"
"Brnířov od Kdyně"|"Brnířov"|"Brnířov"|"KP082"|"4"
"Bělá nad Radbuzou, směr od náměstí"|"Bělá nad Radbuzou"|"Náměstí"|"KP108"|"1"
"Domažlice, směr od od H.Týna"|"Domažlice"|"P. Velikého"|"KP110"|"6"
"Domažlice, směr od Draženova"|"Domažlice"|"28. října"|"KP111"|"6"
"Horšovský Týn, směr na přechodu od Německa"|"Horšovský Týn"|"Na Přeložce"|"KP105"|"8"
"Horšovský Týn, směr na přechodu od Plzně"|"Horšovský Týn"|"Nádražní"|"KP106"|"8"
"Nemanice, směr od Německa Lísková"|"Nemanice"|"Nemanice - Lísková"|"KP121"|"13"
"Pocinovice ve směru od Nýrska"|"Pocinovice"|"Pocinovice"|"KP122"|"15"
"Klatovy - Štěpánovice, směr od Plzně"|"Klatovy"|"Štěpánovice"|"KP123"|"24"
"Klatovy směr od Horažďovic"|"Klatovy"|"Puškinova"|"KP124"|"24"
"Klatovy směr od Železné Rudy"|"Klatovy"|"5. května Luby"|"KP125"|"24"
"Klatovy - Plzeňská, směr z centra"|"Klatovy"|"Plzeňská"|"KP126"|"24"
"Klatovy - Domažlická, směr z centra"|"Klatovy"|"Domažlická"|"KP127"|"24"
"Klatovy směr od Domažlic"|"Klatovy"|"Domažlická"|"KP128"|"24"
"Klatovy směr od Dolan"|"Klatovy"|"Koldinova"|"KP129"|"24"
"Klatovy směr od Plánice"|"Klatovy"|"Plánická"|"KP130"|"24"
"Bor, směr od Přimdy"|"Bor"|"Přimdská"|"KP116"|"33"
"Bor, II/200 Plzeňská"|"Bor"|"Plzeňská"|"KP107"|"33"
"Přimda směr od Boru"|"Přimda"|"Borská"|"KP135"|"38"
"Přimda směr od Rozvadova"|"Přimda"|"Borská"|"KP136"|"38"
"Srní, směr od Rejštejna "|"Srní"|"Srní"|"KP115"|"30"
"Halže - Branka, II/199 od Německa"|"Halže - Branka"|"Halže - Branka"|"KP104"|"35"
"Horní Folmava, I/26, směr od Německa"|"Horní Folmava"|"Horní Folmava"|"KP109"|"5"
"Sušice, Hrádecká ul. u nákupních center"|"Sušice"|"Sušice"|"KP133"|"31"
"Železná Ruda - město, Klatovská na I/27 od Klatov"|"Železná Ruda"|"Železná Ruda"|"KP134"|"2"
"Losiná I/20, směr Nepomuk"|"Losiná"|"Losiná"|"KP192"|"47"
"Losiná I/20, směr Plzeň"|"Losiná"|"Losiná"|"KP193"|"47"
"Starý Plzenec, II/180, Bezručova ulice"|"Starý Plzenec"|"Bezručova ulice"|"KP191"|"48"
"Stod, Plzeňská I/26"|"Stod"|"Plzeňská I/26"|"KP194"|"49"
"Nepomuk I/20, směr Blatná"|"Nepomuk"|"Nepomuk"|"KP196"|"50"
"Nezvěstice I/19, směr Spálené Poříčí"|"Nezvěstice"|"Nezvěstice"|"KP198"|"51"
"Kaznějov I/20 směr od Plzně"|"Kaznějov"|"Kaznějov"|"KP199"|"52"
"Kaznějov I/20 směr od Plas"|"Kaznějov "|"Kaznějov"|"KP200"|"52"
"Kralovice"|"Kralovice "|"Kralovice"|"KP201"|"59"
"Kralovice"|"Kralovice "|"Kralovice"|"KP202"|"59"
"Kozolupy II/605 od Plzně"|"Kozolupy "|"Kozolupy"|"KP203"|"53"
"Zbůch silnice I/26 od Stodu"|"Zbůch "|"Zbůch"|"KP205"|"54"
"Zbůch silnice I/26 od Plzně"|"Zbůch "|"Zbůch"|"KP206"|"54"
"Dobřany"|"Dobřany"|"Dobřany"|"KP229"|"55"
"Plasy"|"Plasy"|"Plasy"|"KP195"|"56"
"Vejprnice"|"Vejprnice"|"Vejprnice"|"KP197"|"57"
"Přeštice"|"Přeštice "|"Přeštice"|"KP204"|"58"
